Ticker,roce,roic,po,divgr,shares,debt,rev,ni,fcf,fcfm,cf,equity,score
BBSI,4,5,5,3,4,5,4,5,5,3,5,5,291
GGG,5,5,4,3,4,5,3,5,3,3,5,3,287
MLI,4,3,5,3,4,4,3,4,5,4,5,5,282
ULH,5,3,5,3,5,3,3,5,5,2,5,5,282
WMS,4,3,5,3,3,5,4,5,5,4,5,5,281
LECO,4,5,4,3,5,5,3,5,3,2,5,4,277
AIT,4,3,4,2,5,5,3,5,5,3,3,5,272
TKR,3,3,5,2,5,3,4,4,5,4,3,4,271
SNA,4,4,4,4,5,4,2,5,5,3,5,4,270
GWW,5,4,4,3,5,3,3,5,5,2,5,3,269
ETN,3,4,3,3,5,5,3,2,5,4,5,3,266
WSO,3,3,2,5,4,5,3,5,4,3,5,3,266
OC,3,3,5,3,5,4,3,5,5,4,5,3,264
ZTO,3,3,4,5,4,5,5,5,5,3,5,5,262
DLB,3,3,4,5,5,5,3,2,5,3,5,4,259
ADP,5,5,3,3,5,4,4,4,4,2,3,3,258
EFX,4,3,4,3,4,5,3,4,4,4,3,5,257
SCS,2,2,3,3,5,5,2,5,5,3,5,3,257
RTX,4,4,4,3,5,5,3,4,2,2,4,3,256
KNX,4,3,5,4,5,5,2,5,5,3,3,5,253
IEX,4,3,4,4,5,3,3,4,3,3,5,4,252
PAYX,5,5,2,2,4,5,3,3,2,1,5,4,249
TEX,2,5,5,5,5,5,3,5,5,3,5,2,245
ARMK,3,3,5,2,4,5,2,5,4,2,5,3,240
NOC,5,4,4,3,5,5,2,1,3,2,3,4,233
WWD,3,3,5,3,5,5,3,5,1,2,5,5,232
HEI,3,3,5,3,4,5,4,5,2,3,3,5,231
LUV,2,3,5,5,5,5,3,1,5,4,5,2,229
EMR,4,3,3,1,5,5,2,4,2,1,4,2,225
EME,3,3,5,2,5,3,3,4,5,3,3,4,219
HI,4,3,4,1,4,5,3,1,1,1,5,4,217
HTLD,4,4,2,5,5,5,2,2,4,1,4,4,215
WCC,3,3,2,5,4,5,3,2,4,2,3,5,212
KAMN,2,2,4,1,4,3,2,4,5,3,4,3,210
FDX,3,3,5,4,5,3,3,5,1,1,4,2,196
CRS,2,2,4,1,4,4,3,2,5,2,3,3,196
